Kabupaten/Kota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rata-rata Pengeluaran Perkapita Seminggu Menurut Kelompok Makanan Minuman Jadi Per Kabupaten/kota (Rupiah/Kapita/Minggu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MAKANAN DAN MINUMAN JADI,Roti tawar,"Roti manis, roti lainnya","Kue kering, biskuit, semprong","Kue basah (kue lapis, bika ambon, lemper, dsb)","Makanan gorengan (tahu, tempe, bakwan, pisang)",Makanan gorengan,Bubur kacang hijau,"Gado-gado, ketoprak, pecel",Nasi campur/rames,Nasi goreng,Nasi putih,Lontong/ketupat sayur,"Soto, gule, sop, rawon, cincang","Sayur matang (ditumis, disantan, dsb)","Sate, tongseng","Mie bakso, mie rebus, mie goreng",Mie instan,"Makanan ringan anak-anak, krupuk/kripik",Ikan matang,"Ayam/daging matang (ayam goreng, rendang, dsb)","Daging olahan matang (sosis, nugget, daging asap, dsb)",Bubur ayam,"Siomay, batagor",Makanan jadi lainnya,Air kemasan,Air kemasan galon,"Air teh kemasan, minuman bersoda/mengandung CO2","Sari buah kemasan, minuman kesehatan, minuman berenergi","Minuman jadi (kopi, kopi susu, teh, susu coklat, dsb)",Es krim,Es lainnya,Minuman keras
Kerinci,48485,265,1659,1459,1225,4518,181,792,1637,4749,2807,701,4019,485,519,3719,3538,420,4528,516,2567,1556,5,1456,1166,394,540,318,415,934,714,492,190
Merangin,34701,109,1021,620,984,2912,43,490,1758,3821,1274,818,2549,713,621,1312,2711,370,3628,130,1506,969,79,609,244,205,483,433,707,2217,927,407,29
Sarolangun,29950,120,1343,159,767,2825,58,169,959,4259,1616,208,1764,523,252,1553,3195,345,2078,75,439,1402,138,645,846,204,313,348,198,1345,846,895,62
Batang Hari,36645,154,932,435,1190,3091,31,203,2618,4477,656,963,2613,831,363,1517,3640,517,2551,394,1118,1354,135,574,587,599,353,511,400,2153,876,803,8
Muaro Jambi,43842,404,1316,634,1647,3076,174,620,2072,5856,1460,821,1114,795,663,2287,4550,813,2684,489,1458,1544,240,1057,944,638,1330,622,386,2252,990,886,20
Tanjung Jabung Timur,43604,464,1055,472,2544,4076,156,205,1404,8689,1415,540,1698,1505,526,1323,3165,499,2031,910,1518,1136,145,390,448,397,1463,373,400,2362,921,1376,-
Tanjung Jabung Barat,39660,353,1131,583,1846,3402,158,220,1376,5360,1424,792,1172,1578,525,1341,2678,354,4505,277,911,1026,808,599,759,584,999,540,307,2343,820,850,40
Tebo,36044,89,1169,756,1110,2983,55,279,1601,4412,1366,615,1414,896,668,2252,4802,519,2624,321,1149,724,66,470,272,214,753,563,415,1835,697,954,-
Bungo,52136,205,1670,935,1184,4112,450,583,1653,4145,1617,1301,2082,1222,983,2929,5318,586,4098,1458,2970,2003,276,1386,1751,419,1162,603,494,2037,1215,1282,8
Kota Jambi,73718,911,1984,1308,2414,3203,829,610,2647,14387,2863,642,3512,1969,818,3367,6154,445,3092,614,2649,1303,825,1812,2868,1483,2758,627,795,2781,1738,2307,4
Kota Sungai Penuh,54898,330,1838,1314,1221,3189,102,808,1894,5461,3415,785,6808,923,726,3976,3651,559,4295,1280,3381,1137,256,1083,1034,325,1290,316,460,1959,828,253,2
Ogan Komering Ulu,33433,220,1677,593,1027,2452,190,201,1067,6557,714,292,348,688,655,933,4193,226,1609,185,984,1160,177,1136,701,650,890,417,368,1917,751,455,-
Ogan Komering Ilir,38105,282,2158,655,1616,3333,262,429,1599,5623,1025,314,481,1116,298,712,4166,848,1915,330,660,1088,104,1105,1370,646,638,426,418,1960,986,1529,14
Muara Enim,37236,235,1492,573,976,3530,252,289,1172,4722,1115,1021,492,489,845,1026,4492,729,1941,647,1267,1336,184,1068,1657,461,589,301,319,1929,1128,959,-
Lahat,43018,248,1605,628,874,3299,181,263,1034,11413,935,345,710,522,694,930,6314,608,1832,213,1104,1234,231,1318,1260,661,404,160,311,2215,889,575,6
Musi Rawas,36867,347,1506,539,1364,3268,213,446,1605,2491,1172,1771,687,1446,1253,1177,3799,596,1479,807,2720,889,119,915,721,529,170,300,206,2497,801,1031,3
Musi Banyuasin,42829,305,1607,632,1125,3171,147,260,1367,3522,1199,1786,345,852,833,1700,4847,707,1781,593,4172,1286,601,1892,1593,635,1177,494,679,1890,923,683,27
Banyu Asin,46994,499,2058,772,1365,3699,506,304,1675,3850,1012,1845,978,878,1064,1239,4568,705,2111,1152,2937,1687,445,948,1696,1591,1079,692,603,2467,1354,1202,12
Ogan Komering Ulu Selatan,26750,169,1524,537,507,3198,43,198,741,3335,207,272,289,701,483,770,2808,524,1754,208,549,1037,129,781,591,388,278,354,135,3006,610,623,-
Ogan Komering Ulu Timur,38060,197,1740,639,1616,2480,148,308,1209,1545,821,2901,523,1748,1740,628,3813,437,1719,1112,3009,999,168,972,569,638,87,382,549,3176,912,1232,42
Ogan Ilir,39605,384,2141,553,1320,3987,506,223,1141,3093,542,1792,167,478,667,543,3330,311,2381,781,2497,1625,159,1250,3135,745,947,347,366,1186,1035,1972,1
Empat Lawang,30094,235,1424,429,908,3412,135,205,799,5589,561,344,555,639,551,817,4133,399,2090,149,846,1005,19,1090,502,473,61,287,185,1165,562,517,9
Penukal Abab Lematang Ilir,27699,190,1241,313,1058,3626,89,167,452,2803,694,587,950,78,424,385,3390,775,773,168,898,1295,146,948,743,601,412,308,454,1733,532,1463,3
Musi Rawas Utara,38178,210,983,428,1301,2607,234,437,1549,2510,744,2303,758,1633,1188,1613,3068,1007,1587,1095,3364,1139,68,767,748,837,118,712,701,2587,889,989,1
Kota Palembang,60800,744,3203,1112,2232,2909,2705,608,1802,9492,2116,1107,1081,948,1093,1973,5911,432,1796,1134,2499,1037,1426,1568,3291,1158,1423,564,768,2158,1056,1408,46
Kota Prabumulih,35999,314,1401,423,909,2324,390,170,914,8179,1051,306,421,608,851,783,3044,347,1592,404,1015,1128,416,889,3048,407,798,346,365,1425,737,989,4
Kota Pagar Alam,38654,146,1125,783,1348,2592,306,343,607,2326,574,2501,1137,679,1861,653,6105,407,1316,1215,3839,1081,155,909,2059,439,30,180,456,2353,713,414,-
Kota Lubuklinggau,42251,294,1625,629,1632,2995,363,232,863,5030,1100,1560,1163,1530,1356,1272,4418,478,1701,561,2492,880,372,1319,1834,590,841,354,325,2206,973,1252,10
Bengkulu Selatan,33935,178,963,674,1220,3628,97,233,1030,1442,1094,1848,1587,865,1032,2185,2912,323,2001,1102,2964,847,109,1304,328,521,60,496,356,1769,444,324,2
